Tweet Id;Text;Name;Screen Name;UTC;Created At;Favorites;Retweets;Language;Client;Tweet Type;URLs;Hashtags;Mentions;Media Type;Media URLs;;;
1308011111321608193;RT @youwinhappiness : Maskemizi takalım mutluluğumuz kaçmasın. At bi like kap bi maske #WearAMask;sad pics for sad people;sadpicturess;2020-09-21T11:52:05.000Z;Mon Sep 21 11:52:05 +0000 2020;0;0;tr;"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";Retweet;;1;0;;;;;
1308007368211521538;RT @LesaSosyal : Ya sen napıyorsun çılgın şey 😍😍😍 https://t.co/VU8f1tmiO6;sad pics for sad people;sadpicturess;2020-09-21T11:37:12.000Z;Mon Sep 21 11:37:12 +0000 2020;0;0;tr;"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";Retweet;;0;0;video;https://video.twimg.com/ext_tw_video/1308006244880351234/pu/vid/320x400/4P9Ive4KS8ttnW6X.mp4?tag=10;;;
1308005288587522048;"RT @gorabetcom : Rulette 100₺'ye 10.000₺ Kazanınca Arkadaşlarım ; https://t.co/PcArP28u5k";sad pics for sad people;sadpicturess;2020-09-21T11:28:57.000Z;Mon Sep 21 11:28:57 +0000 2020;0;0;tr;"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";Retweet;;0;0;video;https://video.twimg.com/ext_tw_video/1307996726129831937/pu/vid/480x480/tg8ix5Vqpa4AGCXT.mp4?tag=10;;;
1307999023320662021;"RT @vforBets : -21 kadar güzel bir kumar var mı be abi?
+Birine güvenmek... https://t.co/I3QzRNKidt";sad pics for sad people;sadpicturess;2020-09-21T11:04:03.000Z;Mon Sep 21 11:04:03 +0000 2020;0;0;tr;"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";Retweet;;0;0;photo;https://pbs.twimg.com/media/EibxeWrWoAMcRG8.jpg;https://pbs.twimg.com/media/EibxeWxXsAMvjbi.jpg;;
1307976290360754176;https://t.co/e2xLuzaJLb;sad pics for sad people;sadpicturess;2020-09-21T09:33:43.000Z;Mon Sep 21 09:33:43 +0000 2020;7995;323;und;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;;0;0;photo;https://pbs.twimg.com/media/EibdgEeX0AA72MA.jpg;;;
1307928345166974976;İlk ders https://t.co/HldGiG51n8;sad pics for sad people;sadpicturess;2020-09-21T06:23:12.000Z;Mon Sep 21 06:23:12 +0000 2020;2522;51;en;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Tweet;;0;0;photo;https://pbs.twimg.com/media/Eiax5d8WkAEDzWO.jpg;;;
1307783195010703360;https://t.co/UFcfcqj2vy;sad pics for sad people;sadpicturess;2020-09-20T20:46:25.000Z;Sun Sep 20 20:46:25 +0000 2020;2545;75;und;"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";Tweet;;0;0;photo;https://pbs.twimg.com/media/EiYt4dIXsAAxKQM.jpg;;;
1307782951661441025;RT @sadpicturess : https://t.co/QbSWwdTJFX;sad pics for sad people;sadpicturess;2020-09-20T20:45:27.000Z;Sun Sep 20 20:45:27 +0000 2020;0;0;und;"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";Retweet;;0;0;photo;https://pbs.twimg.com/media/EiYTt9GWkAYNA55.jpg;;;
1307782683121025024;RT @sadpicturess : https://t.co/hP5rcs0UUB;sad pics for sad people;sadpicturess;2020-09-20T20:44:23.000Z;Sun Sep 20 20:44:23 +0000 2020;0;0;und;"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";Retweet;;0;0;photo;https://pbs.twimg.com/media/EiYo6lZWkAYGH03.jpg;;;
1307777744982466562;https://t.co/hP5rcs0UUB;sad pics for sad people;sadpicturess;2020-09-20T20:24:46.000Z;Sun Sep 20 20:24:46 +0000 2020;8876;289;und;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;;0;0;photo;https://pbs.twimg.com/media/EiYo6lZWkAYGH03.jpg;;;
1307754428011868160;https://t.co/QbSWwdTJFX;sad pics for sad people;sadpicturess;2020-09-20T18:52:07.000Z;Sun Sep 20 18:52:07 +0000 2020;4185;98;und;"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";Tweet;;0;0;photo;https://pbs.twimg.com/media/EiYTt9GWkAYNA55.jpg;;;
1307753382447378432;"RT @betpassocial : ─ Old School Süper Lig ─

★ Rigobert Song
★ Gökçek Vederson
★ Jaba
★ Ömer Çatkıç
★ Delgado
★ Baki Mercimek
★ Pini Balili
★ Diego Lugano
★ Abdurrahman Dereli
★ Elano Blumer
★ Semih Şentürk
★ Cangele 

✍🏻 Size eski Süper Lig’i hatırlatan bir isim yazın.";sad pics for sad people;sadpicturess;2020-09-20T18:47:57.000Z;Sun Sep 20 18:47:57 +0000 2020;0;0;tr;"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";Retweet;;0;0;;;;;
1307750284274401282;RT @sadpicturess : https://t.co/FxSW4jg9lY;sad pics for sad people;sadpicturess;2020-09-20T18:35:39.000Z;Sun Sep 20 18:35:39 +0000 2020;0;0;und;"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";Retweet;;0;0;photo;https://pbs.twimg.com/media/EiX-V0pXgAI8rWI.jpg;;;
1307749994443821063;RT @kadiralkanresmi : Olm Ebu Cehil’i nerede gördün aw.. https://t.co/wj2kF3YrDp;sad pics for sad people;sadpicturess;2020-09-20T18:34:30.000Z;Sun Sep 20 18:34:30 +0000 2020;0;0;tr;"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";Retweet;;0;0;photo;https://pbs.twimg.com/media/EiYO6VCXsAM7UvU.jpg;;;
1307747780434300928;"RT @RestbetOnline : {\__/}         {\__/}
( • ᴗ•)       (• . • )
/ &gt; &lt;\  ⚽&lt;/   v \ 
Kankam banko maç verir.

         ∧_∧
　　( ㅎ_ㅎ)
　┌/つ/￣￣￣/
￣￣＼/＿＿＿/￣￣
Bahis oynarım.

2 saat sonra:
*Artık kira param da yoktur.* 😅";sad pics for sad people;sadpicturess;2020-09-20T18:25:42.000Z;Sun Sep 20 18:25:42 +0000 2020;0;0;tr;"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";Retweet;;0;0;;;;;
1307743042456244226;RT @sadpicturess : https://t.co/Xo0fbNolrw;sad pics for sad people;sadpicturess;2020-09-20T18:06:52.000Z;Sun Sep 20 18:06:52 +0000 2020;0;0;und;"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";Retweet;;0;0;photo;https://pbs.twimg.com/media/EiX_V-aWoAAmWJ3.jpg;;;
1307743025288929283;"RT @maksatbahisoff : HER YENİ ÜYEYE 30 FREESPİN FIRSATI

https://t.co/dmxzjkpYZM https://t.co/r68NrVs1rm";sad pics for sad people;sadpicturess;2020-09-20T18:06:48.000Z;Sun Sep 20 18:06:48 +0000 2020;0;0;tr;"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";Retweet;http://maksatbahis88.com ;0;0;photo;https://pbs.twimg.com/media/EiYDr9kXcAEvcxd.jpg;;;
1307732025479172098;https://t.co/Xo0fbNolrw;sad pics for sad people;sadpicturess;2020-09-20T17:23:06.000Z;Sun Sep 20 17:23:06 +0000 2020;4409;357;und;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;;0;0;photo;https://pbs.twimg.com/media/EiX_V-aWoAAmWJ3.jpg;;;
1307730924659003392;https://t.co/FxSW4jg9lY;sad pics for sad people;sadpicturess;2020-09-20T17:18:43.000Z;Sun Sep 20 17:18:43 +0000 2020;805;16;und;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;;0;0;photo;https://pbs.twimg.com/media/EiX-V0pXgAI8rWI.jpg;;;
1307730861295652865;RT @sadpicturess : https://t.co/VZLQRQXKLb;sad pics for sad people;sadpicturess;2020-09-20T17:18:28.000Z;Sun Sep 20 17:18:28 +0000 2020;0;0;und;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Retweet;;0;0;photo;https://pbs.twimg.com/media/EiX0ZCVWAAMXcYv.jpg;;;
1307729502466912257;"RT @grandpashabetTr : ✅ #GRANDPASHABET'TEN %40  SLOT OYUN BONUSU!

✅ TÜM YATIRIM YÖNTEMLERİNE ANINDA %50 FREEBET!

✅ TÜM YENİ ÜYELERE TAM %300 3000TL İLK YATIRIM BONUSU!

#grandpashabet #virtualgames #casino #canlicasino #freebet #bonus #yatirim #slot #sports https://t.co/M2igbCiNWy";sad pics for sad people;sadpicturess;2020-09-20T17:13:04.000Z;Sun Sep 20 17:13:04 +0000 2020;0;0;tr;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Retweet;;10;0;photo;https://pbs.twimg.com/media/EiX0CXRWoAAEnFK.jpg;;;
